"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2015","Age","13-17 Years","53.2","44.3 to 61.9","171"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2014","Age","13-17 Years","52.1","42.1 to 61.9","165"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2021","Age","13-17 Years","82.4","76.8 to 86.8","306"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2012","Age","13-17 Years","45.0","34.6 to 55.8","133"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2011","Age","13-17 Years","59.3","49.9 to 68.0","210"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2010","Age","13-17 Years","49.1","39.4 to 58.9","135"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2009","Age","13-17 Years","38.6","30.6 to 47.2","178"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2017","Age","13-17 Years","69.2","63.0 to 74.8","324"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2017","Age","13-15 Years","80.7","73.2 to 86.5","196"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2018","Age","13-15 Years","88.6","82.9 to 92.6","214"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2019","Age","13-15 Years","90.3","83.8 to 94.3","192"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2008","Age","13-17 Years","34.9","25.7 to 45.4","113"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2020","Age","13-15 Years","88.9","81.6 to 93.5","168"
"HPV","≥2 Doses, Females","States/Local Areas","Wisconsin","2013","Age","13-17 Years","47.8","38.6 to 57.2","160"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2020","Age","13-17 Years","77.8","71.6 to 83.0","277"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2018","Age","13-17 Years","91.7","87.3 to 94.6","332"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2019","Age","13-17 Years","92.1","87.6 to 95.1","331"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2020","Age","13-17 Years","92.6","88.0 to 95.6","277"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2018","Age","13-17 Years","69.8","64.0 to 75.1","332"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2021","Age","13-17 Years","95.9","92.8 to 97.8","306"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2019","Age","13-17 Years","72.2","66.0 to 77.6","331"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2022","Age","13-17 Years","80.5","73.8 to 85.8","274"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2012","Age","13-17 Years","94.1","91.0 to 96.2","307"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2013","Age","13-17 Years","92.8","88.5 to 95.5","330"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2015","Age","13-17 Years","93.2","89.4 to 95.7","365"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2014","Age","13-17 Years","92.6","87.6 to 95.7","340"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2011","Age","13-17 Years","90.7","84.9 to 94.4","416"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2016","Age","13-15 Years","87.3","81.7 to 91.3","199"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2010","Age","13-17 Years","91.6","87.4 to 94.5","277"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2009","Age","13-17 Years","85.3","80.1 to 89.3","345"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2008","Age","13-17 Years","75.4","69.1 to 80.8","264"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2009","Age","13-15 Years","54.1","46.0 to 62.0","194"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2010","Age","13-15 Years","66.5","57.7 to 74.4","166"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2022","Age","13-17 Years","82.9","73.6 to 89.4","137"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2008","Age","13-15 Years","52.9","44.0 to 61.7","147"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2011","Age","13-15 Years","72.4","63.9 to 79.5","229"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2021","Age","13-17 Years","80.9","73.0 to 87.0","162"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2012","Age","13-17 Years","92.6","87.8 to 95.5","307"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2011","Age","13-17 Years","95.0","91.0 to 97.3","416"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Wisconsin","2016","Age","13-17 Years","61.9","55.5 to 67.9","333"
"HPV","≥2 Doses, Males","States/Local Areas","Wisconsin","2012","Age","13-17 Years","10.3","5.8 to 17.7","174"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Wisconsin","2021","Age","13-15 Years","57.0","48.1 to 65.4","175"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2016","Age","13-17 Years","94.6","91.2 to 96.8","333"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2015","Age","13-17 Years","93.8","90.1 to 96.2","365"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2012","Age","13-17 Years","92.2","87.8 to 95.1","307"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2011","Age","13-17 Years","91.6","86.1 to 95.1","416"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2013","Age","13-17 Years","95.2","91.5 to 97.3","330"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2020","Age","13-17 Years","94.1","89.6 to 96.7","277"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2014","Age","13-15 Years","86.1","77.3 to 91.8","182"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2017","Age","13-15 Years","94.5","89.8 to 97.1","173"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2010","Age","13-15 Years","83.8","74.9 to 89.9","103"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2009","Age","13-15 Years","74.8","65.2 to 82.5","109"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2021","Age","13-17 Years","94.9","90.8 to 97.2","306"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2012","Age","13-15 Years","88.2","79.2 to 93.6","135"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2011","Age","13-15 Years","86.8","73.9 to 93.8","169"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2013","Age","13-15 Years","94.8","89.1 to 97.6","163"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2008","Age","13-15 Years","41.2","28.5 to 55.1","60"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2022","Age","13-17 Years","93.8","88.7 to 96.6","274"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2018","Age","13-17 Years","92.3","88.1 to 95.1","332"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2019","Age","13-17 Years","96.3","93.4 to 97.9","331"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2016","Age","13-15 Years","92.7","87.0 to 96.0","176"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2015","Age","13-15 Years","94.1","89.2 to 96.9","198"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2013","Age","13-17 Years","31.7","23.8 to 40.8","170"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2012","Age","13-17 Years","19.3","12.5 to 28.5","174"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2018","Age","13-17 Years","72.8","64.1 to 80.0","156"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2021","Age","13-17 Years","94.4","90.0 to 96.9","282"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2016","Age","13-17 Years","56.0","47.3 to 64.4","183"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2015","Age","13-17 Years","46.4","38.4 to 54.5","194"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2014","Age","13-17 Years","49.3","40.0 to 58.6","175"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2022","Age","13-17 Years","96.3","91.9 to 98.4","257"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2019","Age","13-17 Years","78.2","69.2 to 85.1","155"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2021","Age","13-17 Years","83.9","75.5 to 89.8","144"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2022","Age","13-17 Years","77.9","67.6 to 85.6","137"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2010","Age","13-17 Years","89.9","84.9 to 93.4","277"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2018","Age","13-15 Years","90.2","84.3 to 94.0","196"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2019","Age","13-15 Years","95.2","90.8 to 97.6","176"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2020","Age","13-15 Years","95.1","88.2 to 98.0","156"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2010","Age","13-17 Years","93.8","86.6 to 97.2","150"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2011","Age","13-17 Years","94.0","84.2 to 97.9","261"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2009","Age","13-17 Years","95.7","91.2 to 98.0","158"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2008","Age","13-17 Years","84.4","73.1 to 91.5","88"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2010","Age","13-17 Years","78.1","69.7 to 84.6","150"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2009","Age","13-17 Years","71.8","63.4 to 78.9","158"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2022","Age","13-15 Years","94.8","90.0 to 97.3","152"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2008","Age","13-17 Years","37.9","27.6 to 49.4","88"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2012","Age","13-17 Years","87.9","81.4 to 92.4","211"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2011","Age","13-17 Years","86.6","78.4 to 92.0","261"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2009","Age","13-17 Years","49.2","40.7 to 57.6","178"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2008","Age","13-17 Years","47.0","37.0 to 57.1","113"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2012","Age","13-15 Years","74.0","64.6 to 81.6","178"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2013","Age","13-15 Years","81.2","74.4 to 86.6","212"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2015","Age","13-15 Years","80.0","73.2 to 85.3","232"
"≥1 Dose MenACWY","","States/Local Areas","Wisconsin","2014","Age","13-15 Years","74.6","65.9 to 81.6","216"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2016","Age","13-17 Years","93.7","89.7 to 96.2","287"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2015","Age","13-17 Years","92.5","88.1 to 95.3","305"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2014","Age","13-17 Years","90.7","84.7 to 94.5","269"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2012","Age","13-17 Years","50.5","39.8 to 61.1","133"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2013","Age","13-17 Years","59.4","50.1 to 68.0","160"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2011","Age","13-17 Years","65.7","56.8 to 73.6","210"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2010","Age","13-17 Years","54.4","44.5 to 63.9","135"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2016","Age","13-17 Years","97.4","94.5 to 98.8","287"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2013","Age","13-17 Years","93.4","88.5 to 96.3","246"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2015","Age","13-17 Years","97.6","95.1 to 98.9","305"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2014","Age","13-17 Years","95.4","90.0 to 97.9","269"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2012","Age","13-17 Years","98.4","95.8 to 99.4","211"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2013","Age","13-17 Years","96.9","92.9 to 98.7","246"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2017","Age","13-17 Years","65.1","56.4 to 73.0","177"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2018","Age","13-17 Years","67.1","58.8 to 74.4","176"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2019","Age","13-17 Years","66.4","57.7 to 74.2","176"
"HPV","≥1 Dose, Males","States/Local Areas","Wisconsin","2020","Age","13-17 Years","74.3","65.3 to 81.7","155"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2015","Age","13-17 Years","91.5","87.2 to 94.4","365"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2014","Age","13-17 Years","94.1","89.4 to 96.8","340"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2022","Age","13-17 Years","93.3","88.0 to 96.4","257"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2021","Age","13-17 Years","98.1","94.9 to 99.3","282"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2021","Age","13-17 Years","95.2","90.7 to 97.5","306"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2020","Age","13-17 Years","81.5","72.4 to 88.1","122"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2022","Age","13-17 Years","93.0","88.1 to 96.0","274"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2020","Age","13-17 Years","93.0","88.1 to 95.9","277"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2016","Age","13-17 Years","68.1","58.6 to 76.2","150"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2018","Age","13-17 Years","91.4","86.8 to 94.5","297"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2019","Age","13-17 Years","95.8","92.6 to 97.7","293"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2020","Age","13-17 Years","93.5","88.6 to 96.4","256"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2017","Age","13-17 Years","73.5","64.3 to 81.0","147"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2015","Age","13-17 Years","60.5","51.5 to 68.8","171"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2018","Age","13-17 Years","94.3","90.6 to 96.6","332"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2019","Age","13-17 Years","94.7","91.3 to 96.8","331"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2018","Age","13-17 Years","93.2","88.7 to 95.9","297"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2017","Age","13-17 Years","97.2","94.2 to 98.7","279"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2019","Age","13-17 Years","98.2","95.3 to 99.3","293"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Wisconsin","2020","Age","13-17 Years","95.6","91.0 to 97.9","256"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2017","Age","13-17 Years","95.4","92.2 to 97.3","279"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2009","Age","13-17 Years","93.4","89.5 to 95.9","345"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2008","Age","13-17 Years","87.8","82.4 to 91.7","264"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Wisconsin","2021","Age","13-15 Years","93.3","86.1 to 96.9","161"
"HPV","≥1 Dose, Females","States/Local Areas","Wisconsin","2014","Age","13-17 Years","61.0","50.8 to 70.2","165"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2016","Age","13-17 Years","95.1","91.4 to 97.3","333"
"≥3 Doses HepB","","States/Local Areas","Wisconsin","2017","Age","13-17 Years","94.7","90.9 to 97.0","324"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2016","Age","13-17 Years","96.5","94.1 to 98.0","333"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2017","Age","13-17 Years","92.0","87.9 to 94.9","324"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Wisconsin","2013","Age","13-17 Years","96.1","92.8 to 97.9","330"
"HPV","≥3 Doses, Females","States/Local Areas","Wisconsin","2015","Age","13-17 Years","47.3","38.5 to 56.2","171"
"≥2 Doses Hep A","","States/Local Areas","Wisconsin","2022","Age","13-17 Years","85.0","78.4 to 89.9","274"
"≥2 Doses Hep A","","States/Local Areas","Wisconsin","2020","Age","13-17 Years","77.1","70.9 to 82.3","277"
"≥2 Doses Hep A","","States/Local Areas","Wisconsin","2021","Age","13-17 Years","82.2","76.3 to 86.9","306"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Wisconsin","2014","Age","13-17 Years","93.0","88.3 to 95.9","340"
